anl_id,anl_machine,anl_file_md5,anl_file_name,name,anl_score,anl_duration,anl_network_udp,anl_network_tcp,anl_network_dns,anl_signatures_sv1,anl_signatures_sv2,anl_signatures_sv3,anl_signatures_sv4,anl_signatures_sv5,anl_signatures_sv6,anl_file_created,anl_regkey_written,anl_dll_loaded,anl_file_failed,anl_regkey_opened,anl_resolves_host,anl_file_written,anl_fetches_url,anl_regkey_read
232,cuckoo-w7-opened,948cf3aa2181b2c69ce3fe6d37941d01,worm_win32_yuner_a-92-win32_exe-undefined-948cf3aa2181b2c69ce3fe6d37941d01.exe,hybris,6.2,197,17,0,2,2,3,4,0,1,1,1,30,19,3,219,0,5,0,319
150,cuckoo-w7-01,951014f828fd104a2efac69d088d1dcc,worm_win32_gamarue-92-win32_exe-xampp.exe-951014f828fd104a2efac69d088d1dcc.exe,downloader,13.2,195,28,12,9,3,11,10,0,1,1,2,8,36,4,446,0,2,3,2379
304,cuckoo-w7-maldome-opened,951014f828fd104a2efac69d088d1dcc,worm_win32_gamarue-92-win32_exe-xampp.exe-951014f828fd104a2efac69d088d1dcc.exe,downloader,15,191,33,10,7,3,15,9,1,1,1,3,4,43,4,446,2,3,4,2367
101,cuckoo-w7-vmcloak,951014f828fd104a2efac69d088d1dcc,worm_win32_gamarue-92-win32_exe-xampp.exe-951014f828fd104a2efac69d088d1dcc.exe,downloader,14.4,135,28,14,13,3,14,10,0,1,1,3,103,39,4,226,1,3,4,776
255,cuckoo-w7-opened,951014f828fd104a2efac69d088d1dcc,worm_win32_gamarue-92-win32_exe-xampp.exe-951014f828fd104a2efac69d088d1dcc.exe,downloader,12,135,17,0,2,3,11,8,0,1,1,2,4,35,4,444,0,2,3,2348
112,cuckoo-w7-01,95d07be63732f56dea4ea007820518dc,trojan_win32_zpevdo_rfn-67-win32_exe-wsdlimp.exe-95d07be63732f56dea4ea007820518dc.exe,symmi,10.6,52,21,11,9,4,13,4,0,1,1,0,6,35,4,47,1,0,1,59
266,cuckoo-w7-maldome-opened,95d07be63732f56dea4ea007820518dc,trojan_win32_zpevdo_rfn-67-win32_exe-wsdlimp.exe-95d07be63732f56dea4ea007820518dc.exe,symmi,2.8,51,16,1,3,3,1,1,0,0,1,0,0,2,0,0,0,0,0,0
54,cuckoo-w7-vmcloak,95d07be63732f56dea4ea007820518dc,trojan_win32_zpevdo_rfn-67-win32_exe-wsdlimp.exe-95d07be63732f56dea4ea007820518dc.exe,symmi,3.4,79,15,1,5,3,1,2,0,0,1,0,0,2,0,0,0,0,0,0
208,cuckoo-w7-opened,95d07be63732f56dea4ea007820518dc,trojan_win32_zpevdo_rfn-67-win32_exe-wsdlimp.exe-95d07be63732f56dea4ea007820518dc.exe,symmi,2.8,73,16,0,2,3,1,1,0,0,1,0,0,2,0,0,0,0,0,0
126,cuckoo-w7-01,95e9d30f6c5378fc360ce906d74381d3,trojan_win32_emotet_dd-75-win32_exe-undefined-95e9d30f6c5378fc360ce906d74381d3.exe,emotet,8.4,474,27,11,11,3,8,3,0,0,1,0,8,33,0,88,1,0,3,141
280,cuckoo-w7-maldome-opened,95e9d30f6c5378fc360ce906d74381d3,trojan_win32_emotet_dd-75-win32_exe-undefined-95e9d30f6c5378fc360ce906d74381d3.exe,emotet,9.8,131,24,2,5,3,10,4,0,0,1,0,16,35,1,114,2,0,3,136
127,cuckoo-w7-vmcloak,95e9d30f6c5378fc360ce906d74381d3,trojan_win32_emotet_dd-75-win32_exe-undefined-95e9d30f6c5378fc360ce906d74381d3.exe,emotet,8,136,16,6,7,3,7,3,0,0,1,0,112,38,1,95,1,0,3,654
281,cuckoo-w7-opened,95e9d30f6c5378fc360ce906d74381d3,trojan_win32_emotet_dd-75-win32_exe-undefined-95e9d30f6c5378fc360ce906d74381d3.exe,emotet,9.4,144,18,1,2,3,9,4,0,0,1,0,16,34,1,112,2,0,3,148
102,cuckoo-w7-01,9d7701d52dc2cb5549e072567b627a17,worm_win32_mofksys-68-win32_exe-win.exe-9d7701d52dc2cb5549e072567b627a17.exe,mofksys,15.2,138,25,10,9,6,10,13,0,1,1,10,9,25,4,38,0,4,0,40
256,cuckoo-w7-maldome-opened,9d7701d52dc2cb5549e072567b627a17,worm_win32_mofksys-68-win32_exe-win.exe-9d7701d52dc2cb5549e072567b627a17.exe,mofksys,14.2,136,13,1,2,6,9,12,0,1,1,10,9,25,4,38,0,4,0,40
59,cuckoo-w7-vmcloak,9d7701d52dc2cb5549e072567b627a17,worm_win32_mofksys-68-win32_exe-win.exe-9d7701d52dc2cb5549e072567b627a17.exe,mofksys,15.4,163,18,5,7,6,9,14,0,1,1,10,9,25,4,38,0,4,0,38
213,cuckoo-w7-opened,9d7701d52dc2cb5549e072567b627a17,worm_win32_mofksys-68-win32_exe-win.exe-9d7701d52dc2cb5549e072567b627a17.exe,mofksys,14.2,146,16,0,2,6,9,12,0,1,1,10,9,26,4,38,0,4,0,40
209,cuckoo-w7-maldome-opened,9d82daf37a7f6fea19b425de6fbf08c4,worm_win32_yuner_a-92-win32_exe-undefined-9d82daf37a7f6fea19b425de6fbf08c4.exe,hybris,16,134,14,1,2,2,11,15,0,1,1,1,50,51,29,402,0,6,2,756
148,cuckoo-w7-vmcloak,9d82daf37a7f6fea19b425de6fbf08c4,worm_win32_yuner_a-92-win32_exe-undefined-9d82daf37a7f6fea19b425de6fbf08c4.exe,hybris,6.2,688,19,5,7,2,3,4,0,1,1,1,30,19,1,200,0,5,0,321
302,cuckoo-w7-opened,9d82daf37a7f6fea19b425de6fbf08c4,worm_win32_yuner_a-92-win32_exe-undefined-9d82daf37a7f6fea19b425de6fbf08c4.exe,hybris,6.2,197,17,0,2,2,3,4,0,1,1,1,30,19,3,219,0,5,0,319
114,cuckoo-w7-01,a3dd7a806370aba84eaf9a2e6f9db872,trojandropper_win32_miniduke_b-91-win32_exe-chrome.exe-a3dd7a806370aba84eaf9a2e6f9db872.exe,miniduke,12.8,137,22,13,9,2,12,8,0,0,1,10,14,41,25,75,0,14,1,150
268,cuckoo-w7-maldome-opened,a3dd7a806370aba84eaf9a2e6f9db872,trojandropper_win32_miniduke_b-91-win32_exe-chrome.exe-a3dd7a806370aba84eaf9a2e6f9db872.exe,miniduke,9.8,135,14,1,2,2,10,7,0,0,1,10,21,40,26,62,0,13,0,100
146,cuckoo-w7-vmcloak,a3dd7a806370aba84eaf9a2e6f9db872,trojandropper_win32_miniduke_b-91-win32_exe-chrome.exe-a3dd7a806370aba84eaf9a2e6f9db872.exe,miniduke,7.2,145,16,5,7,1,7,5,0,0,1,6,8,31,24,33,0,7,0,68
300,cuckoo-w7-opened,a3dd7a806370aba84eaf9a2e6f9db872,trojandropper_win32_miniduke_b-91-win32_exe-chrome.exe-a3dd7a806370aba84eaf9a2e6f9db872.exe,miniduke,6.6,143,16,0,2,1,7,4,0,0,1,6,8,31,24,33,0,7,0,66
86,cuckoo-w7-01,a85ece2b63cfb47561b076e057fb20b6,backdoor_msil_bladabindi_b-87-win32_exe-undefined-a85ece2b63cfb47561b076e057fb20b6.exe,msil,4.6,195,27,13,10,3,4,2,0,0,1,1,18,49,12,111,0,1,2,260
240,cuckoo-w7-maldome-opened,a85ece2b63cfb47561b076e057fb20b6,backdoor_msil_bladabindi_b-87-win32_exe-undefined-a85ece2b63cfb47561b076e057fb20b6.exe,msil,6.4,193,26,3,4,5,6,3,0,0,1,1,24,68,8,124,1,1,3,351
139,cuckoo-w7-vmcloak,a85ece2b63cfb47561b076e057fb20b6,backdoor_msil_bladabindi_b-87-win32_exe-undefined-a85ece2b63cfb47561b076e057fb20b6.exe,msil,7.6,140,19,6,8,5,9,3,0,0,1,1,5,74,13,177,1,1,3,377
293,cuckoo-w7-opened,a85ece2b63cfb47561b076e057fb20b6,backdoor_msil_bladabindi_b-87-win32_exe-undefined-a85ece2b63cfb47561b076e057fb20b6.exe,msil,6.6,139,68,0,3,5,8,2,0,0,1,1,23,57,8,118,1,1,3,297
111,cuckoo-w7-01,a8fd2b0e171a5699bd49204b368f631b,softwarebundler_win32_icloader-60-win32_exe-undefined-a8fd2b0e171a5699bd49204b368f631b.exe,graftor,10.2,39,22,10,6,5,10,4,0,0,1,0,6,35,4,44,1,0,1,56
265,cuckoo-w7-maldome-opened,a8fd2b0e171a5699bd49204b368f631b,softwarebundler_win32_icloader-60-win32_exe-undefined-a8fd2b0e171a5699bd49204b368f631b.exe,graftor,3,43,14,1,2,4,1,1,0,0,1,0,0,2,0,0,0,0,0,0
149,cuckoo-w7-vmcloak,a8fd2b0e171a5699bd49204b368f631b,softwarebundler_win32_icloader-60-win32_exe-undefined-a8fd2b0e171a5699bd49204b368f631b.exe,graftor,3,75,14,1,5,4,1,1,0,0,1,0,0,2,0,0,0,0,0,0
303,cuckoo-w7-opened,a8fd2b0e171a5699bd49204b368f631b,softwarebundler_win32_icloader-60-win32_exe-undefined-a8fd2b0e171a5699bd49204b368f631b.exe,graftor,3,66,16,0,2,4,1,1,0,0,1,0,0,2,0,0,0,0,0,0
145,cuckoo-w7-01,a94bc822d78525322b8f2a1529417dc0,trojan_win32_tiggre_rfn-64-win32_exe-setntmpl.exe-a94bc822d78525322b8f2a1529417dc0.exe,zusy,7.6,136,23,10,9,3,10,3,0,0,1,74,2786,47,6,2454,0,71,4,1685
